LONI.IDA.Image.ID,tSNR.mean,Site,Scanner,PhantomType,Name,Subject.Session,Session,Protocol,Tsize
433454,162.6,C.Trio,TrioTim,BIRN,Spherical phantom,1,1,REST,165
433456,152.5,C.Trio,TrioTim,BIRN,Spherical phantom,1,1,BIO,154
433457,147.1,C.Trio,TrioTim,BIRN,Spherical phantom,1,1,FACE,172
433458,160,C.Trio,TrioTim,BIRN,Spherical phantom,1,1,LANG,264
433462,147.9,C.Trio,TrioTim,BIRN,Spherical phantom,1,1,REW,150
433538,156,B.Trio,TrioTim,BIRN,Spherical phantom,2,2,LANG,264
433541,164.1,B.Trio,TrioTim,BIRN,Spherical phantom,2,2,FACE,172
433542,144.8,B.Trio,TrioTim,BIRN,Spherical phantom,2,2,REST,165
433545,148.1,B.Trio,TrioTim,BIRN,Spherical phantom,2,2,BIO,154
433546,162,B.Trio,TrioTim,BIRN,Spherical phantom,2,2,REW,150
434894,117,A.Trio,TrioTim,BIRN,Spherical phantom,3,3,FACE,172
434895,118.4,A.Trio,TrioTim,BIRN,Spherical phantom,3,3,REST,165
434896,122.7,A.Trio,TrioTim,BIRN,Spherical phantom,3,3,LANG,265
434897,131.9,A.Trio,TrioTim,BIRN,Spherical phantom,3,3,BIO,154
434902,122.3,A.Trio,TrioTim,BIRN,Spherical phantom,3,3,REW,150
435875,180.4,D.Trio,TrioTim,BIRN,Spherical phantom,4,4,FACE,172
435877,185.2,D.Trio,TrioTim,BIRN,Spherical phantom,4,4,REW,150
435879,187.3,D.Trio,TrioTim,BIRN,Spherical phantom,4,4,BIO,154
435880,183.2,D.Trio,TrioTim,BIRN,Spherical phantom,4,4,REST,165
435881,176.7,D.Trio,TrioTim,BIRN,Spherical phantom,4,4,LANG,264
460971,178.5,B.Prisma,PrismaFit,BIRN,Spherical phantom,5,11,REST,165
1019942,178.3,C.Prisma,PrismaFit,BIRN,Spherical phantom,6,13,REST,240
451526,170.789,B.Trio,TrioTim,Human,Human 1,1,5,BIO,154
451527,159.452,B.Trio,TrioTim,Human,Human 1,1,5,FACE,172
451528,155.838,B.Trio,TrioTim,Human,Human 1,1,5,LANG,264
451529,141.492,B.Trio,TrioTim,Human,Human 1,1,5,REST,165
451530,183.651,B.Trio,TrioTim,Human,Human 1,1,5,REW,150
451542,153.739,C.Trio,TrioTim,Human,Human 1,2,6,REST,165
451543,154.337,C.Trio,TrioTim,Human,Human 1,2,6,FACE,172
451545,130.128,C.Trio,TrioTim,Human,Human 1,2,6,LANG,264
451547,146.059,C.Trio,TrioTim,Human,Human 1,2,6,BIO,154
451548,159.257,C.Trio,TrioTim,Human,Human 1,2,6,REW,150
449167,118.603,A.Trio,TrioTim,Human,Human 1,3,7,REST,165
449169,173.428,A.Trio,TrioTim,Human,Human 1,3,7,REW,150
449171,151.933,A.Trio,TrioTim,Human,Human 1,3,7,FACE,172
449172,124.447,A.Trio,TrioTim,Human,Human 1,3,7,LANG,264
449175,160.813,A.Trio,TrioTim,Human,Human 1,3,7,BIO,154
460939,169.428,D.Trio,TrioTim,Human,Human 1,4,8,REW,150
460940,158.364,D.Trio,TrioTim,Human,Human 1,4,8,LANG,264
460942,147.315,D.Trio,TrioTim,Human,Human 1,4,8,REST,165
460945,151.28,D.Trio,TrioTim,Human,Human 1,4,8,BIO,154
460946,154.768,D.Trio,TrioTim,Human,Human 1,4,8,FACE,172
461012,159.136,D.Trio,TrioTim,Human,Human 2,1,9,BIO,154
461013,174.719,D.Trio,TrioTim,Human,Human 2,1,9,REW,150
461016,148.819,D.Trio,TrioTim,Human,Human 2,1,9,LANG,264
461018,168.034,D.Trio,TrioTim,Human,Human 2,1,9,FACE,172
468049,151.114,A.Trio,TrioTim,Human,Human 2,2,10,BIO,154
468052,177.072,A.Trio,TrioTim,Human,Human 2,2,10,REW,150
468053,171.205,A.Trio,TrioTim,Human,Human 2,2,10,FACE,172
468055,177.834,A.Trio,TrioTim,Human,Human 2,2,10,REST,165
468058,161.676,A.Trio,TrioTim,Human,Human 2,2,10,LANG,264
773967,174.074,B.Prisma,PrismaFit,Human,Human 1,5,12,BIO,154
773968,169.415,B.Prisma,PrismaFit,Human,Human 1,5,12,FACE,172
773969,134.954,B.Prisma,PrismaFit,Human,Human 1,5,12,LANG,264
773970,125.222,B.Prisma,PrismaFit,Human,Human 1,5,12,REST,165
773971,165.216,B.Prisma,PrismaFit,Human,Human 1,5,12,REW,150